Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
C1orf131	DKFZp547B1713	ENSG00000143633	"Chromosome 1 open reading frame 131"	Q8NDD1	1	231223763-231241187	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA028452, HPA029920"	Enhanced						NA	NA			"Cluster 22: Eosinophils - Transcription"	"Cluster 70: Lymphoid tissue - Immune response"	"Cluster 25: Non-specific - Transcription"	"Cluster 45: Non-specific - Nuclear processes"	"Cluster 39: Non-specific - Basic cellular processes"				"HPA028452: AB_10610979, HPA029920: AB_10600423"	"unprognostic (5.22e-2)"	"unprognostic (2.53e-1)"	"unprognostic (1.98e-1)"	"unprognostic (7.40e-2)"	"unprognostic (2.88e-1)"	"unprognostic (1.13e-1)"	"unprognostic (4.10e-2)"	"unprognostic (1.81e-1)"	"unprognostic (4.66e-2)"	"unprognostic (3.76e-3)"	"unprognostic (1.39e-1)"	"unprognostic (1.52e-1)"	"prognostic unfavorable (2.64e-9)"	"unprognostic (8.01e-2)"	"unprognostic (1.48e-1)"	"unprognostic (2.05e-1)"	"prognostic favorable (9.84e-4)"
CANT1	"SCAN-1, SHAPY"	ENSG00000171302	"Calcium activated nucleotidase 1"	Q8WVQ1	17	78991716-79009867	"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"		Hydrolase	"Cancer-related genes, Disease variant, Dwarfism"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Distal enterocytes: 134.4;Intestinal goblet cells: 155.5;Prostatic glandular cells: 101.8;Syncytiotrophoblasts: 103.4"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Prostate - Prostate glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA019627, HPA019639, HPA022818"	Enhanced		Supported	"Golgi apparatus"			NA	Yes		3300000	"Cluster 21: Neutrophils - Unknown function"	"Cluster 45: Intestine - Digestion"	"Cluster 20: Macrophages & Microglia - Immune response"	"Cluster 27: Breast cancer - Unknown function"	"Cluster 16: Intestinal goblet cells - Mucin production"	2	"Golgi apparatus"		"HPA019627: AB_1845969, HPA019639: AB_1845970, HPA022818: AB_1845971"	"unprognostic (1.98e-2)"	"unprognostic (2.49e-2)"	"unprognostic (1.50e-2)"	"unprognostic (5.36e-2)"	"unprognostic (2.13e-2)"	"unprognostic (2.21e-2)"	"prognostic unfavorable (1.41e-4)"	"prognostic unfavorable (2.90e-4)"	"unprognostic (1.76e-1)"	"unprognostic (9.00e-2)"	"unprognostic (3.30e-1)"	"unprognostic (2.49e-1)"	"prognostic unfavorable (6.21e-4)"	"unprognostic (7.04e-2)"	"unprognostic (5.06e-2)"	"unprognostic (1.16e-1)"	"unprognostic (7.23e-2)"
CASP6	MCH2	ENSG00000138794	"Caspase 6"	P55212	4	109688622-109703583	"Cancer-related genes, Enzymes, Predicted intracellular proteins"	Apoptosis	"Hydrolase, Protease, Thiol protease"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"intestine: 39.4"	"Cell type enhanced"	"Detected in many"		"Undifferentiated cells: 83.0"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB003775, HPA011337, HPA024303"	Enhanced		Supported	Nucleoplasm,Cytosol			NA	NA			"Cluster 6: T-cells - T-cell receptor"	"Cluster 45: Intestine - Digestion"	"Cluster 34: Non-specific - Mixed function"	"Cluster 57: Stomach & Colon cancer - Digestion"	"Cluster 16: Intestinal goblet cells - Mucin production"	122	Cytosol	Nucleoplasm	"CAB003775: AB_562064, HPA011337: AB_1846053, HPA024303: AB_1846052"	"unprognostic (1.07e-1)"	"unprognostic (1.91e-1)"	"prognostic favorable (2.64e-5)"	"unprognostic (1.45e-2)"	"unprognostic (1.90e-1)"	"unprognostic (1.46e-1)"	"unprognostic (3.03e-3)"	"unprognostic (9.87e-2)"	"unprognostic (2.73e-2)"	"unprognostic (2.59e-3)"	"unprognostic (1.15e-2)"	"unprognostic (6.78e-2)"	"unprognostic (2.44e-1)"	"unprognostic (8.74e-3)"	"unprognostic (2.18e-1)"	"unprognostic (2.41e-1)"	"prognostic favorable (9.93e-4)"
CD177	"HNA2A, NB1, PRV1"	ENSG00000204936	"CD177 molecule"		19	43353686-43363172	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"			"Tissue enhanced"	"Detected in many"		"bone marrow: 283.3;intestine: 159.6"	"Cell type enriched"	"Detected in some"	5	"Distal enterocytes: 357.0"	"Cancer enhanced"	"Detected in many"		"prostate cancer: 27.6"	"Region enhanced"	"Detected in many"		"cerebral cortex: 17.6"	"Immune cell enriched"	"Detected in some"	7	"neutrophil: 8.8"	"Lineage enriched"	"Detected in many"	7	"granulocytes: 8.8"	"Cancer enriched"	"Detected in many"	20	"Rhabdoid: 55.5"	"Adipose visceral - Neutrophils, Heart muscle - Neutrophils, Liver - Neutrophils, Lung - Neutrophil_2, Prostate - Prostate glandular cells, Skeletal muscle - Neutrophils, Stomach - Neutrophils, Thyroid - Neutrophils"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"HPA041820, HPA046601, HPA077640"	Enhanced				"Intracellular and membrane"		NA	NA			"Cluster 35: Neutrophils - Protein binding"	"Cluster 77: Bone marrow - Cell proliferation"	"Cluster 12: Non-specific - Vasculature"	"Cluster 5: Rhabdoid - Unknown function"	"Cluster 5: Enterocytes - Absorption"				"HPA041820: AB_2677691, HPA046601: AB_2679716, HPA077640: "	"unprognostic (4.32e-2)"	"prognostic favorable (3.66e-4)"	"unprognostic (1.04e-2)"	"unprognostic (2.04e-3)"	"unprognostic (1.61e-1)"	"unprognostic (3.89e-2)"	"unprognostic (7.10e-2)"	"unprognostic (2.94e-1)"	"unprognostic (2.05e-1)"	"unprognostic (1.45e-1)"	"unprognostic (8.38e-2)"	"unprognostic (1.90e-2)"	"unprognostic (2.45e-1)"	"unprognostic (2.70e-1)"	"unprognostic (1.16e-1)"	"unprognostic (5.01e-2)"	"unprognostic (1.24e-1)"
CDH17	"cadherin, HPT-1"	ENSG00000079112	"Cadherin 17"	Q12864	8	94127162-94217303	"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Cell adhesion, Transport"		"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	11	"intestine: 305.2"	"Group enriched"	"Detected in some"	11	"Distal enterocytes: 491.3;Enteroendocrine cells: 168.9;Intestinal goblet cells: 186.3;Paneth cells: 284.0;Proximal enterocytes: 312.2;Undifferentiated cells: 136.0"	"Group enriched"	"Detected in many"	6	"colorectal cancer: 156.4;stomach cancer: 54.9"	"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in some"	5	"neutrophil: 14.8"	"Lineage enriched"	"Detected in single"	18	"granulocytes: 14.8"	"Group enriched"	"Detected in many"	5	"Bile duct cancer: 61.7;colorectal cancer: 158.4;Gastric cancer: 75.7;pancreatic cancer: 48.9"	"Colon - Colon enterocytes, Pancreas - Ductal cells"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"HPA023614, HPA023616, CAB025143, HPA026556"	Enhanced		Supported	"Nucleoplasm,Cell Junctions"			NA	NA		7500000	"Cluster 35: Neutrophils - Protein binding"	"Cluster 45: Intestine - Digestion"	"Cluster 48: Non-specific - Mixed function"	"Cluster 57: Stomach & Colon cancer - Digestion"	"Cluster 5: Enterocytes - Absorption"	1	"Cell Junctions"	Nucleoplasm	"CAB025143: , HPA023614: AB_1845896, HPA023616: AB_1845895, HPA026556: AB_1845897"	"unprognostic (2.08e-1)"	"unprognostic (5.00e-2)"	"unprognostic (1.05e-1)"	"unprognostic (1.09e-1)"	"unprognostic (3.02e-1)"	"unprognostic (3.06e-2)"	"unprognostic (5.60e-2)"	"unprognostic (3.38e-3)"	"unprognostic (2.11e-1)"	"unprognostic (1.74e-1)"	"unprognostic (5.47e-2)"	"unprognostic (3.74e-2)"	"unprognostic (2.36e-1)"	"unprognostic (1.29e-1)"	"unprognostic (1.31e-1)"	"unprognostic (7.33e-2)"	"unprognostic (1.46e-2)"
CDX2	CDX3	ENSG00000165556	"Caudal type homeobox 2"	Q99626	13	27960918-27969315	"Cancer-related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Activator, Developmental protein, DNA-binding"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	8	"intestine: 39.7"	"Group enriched"	"Detected in some"	7	"Distal enterocytes: 296.7;Enteroendocrine cells: 153.7;Intestinal goblet cells: 199.1;Paneth cells: 216.3;Proximal enterocytes: 243.1;Undifferentiated cells: 178.9"	"Cancer enriched"	"Detected in many"	6	"colorectal cancer: 63.7"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in many"	5	"colorectal cancer: 73.2"	"Colon - Colon enterocytes"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"CAB002221, HPA045669, HPA049580"	Enhanced		Enhanced	Nucleoplasm			NA	NA				"Cluster 45: Intestine - Digestion"		"Cluster 57: Stomach & Colon cancer - Digestion"	"Cluster 16: Intestinal goblet cells - Mucin production"	2	Nucleoplasm		"CAB002221: AB_563649, HPA045669: AB_2679413, HPA049580: AB_2680823"		"unprognostic (1.42e-1)"	"unprognostic (2.41e-1)"	"unprognostic (2.92e-1)"		"unprognostic (8.11e-3)"	"unprognostic (4.19e-6)"	"unprognostic (1.73e-4)"		"unprognostic (1.71e-1)"	"unprognostic (1.58e-1)"	"unprognostic (5.51e-2)"		"unprognostic (6.07e-3)"	"unprognostic (1.13e-1)"		"unprognostic (1.09e-1)"
CERT1	"CERT, COL4A3BP, GPBP, STARD11"	ENSG00000113163	"Ceramide transporter 1"	Q9Y5P4	5	75356345-75512138	"Disease related genes, Human disease related genes, Metabolic proteins, Predicted intracellular proteins"	"Lipid transport, Transport"		"Disease variant, Intellectual disability"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Adipocytes (Subcutaneous), Breast - Adipocytes (Breast), Testis - Early spermatids, Thyroid - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA035645, HPA042608"	Enhanced		Enhanced	"Nucleoplasm,Golgi apparatus"			NA	NA			"Cluster 37: Monocytes & Neutrophils - Innate immune response"	"Cluster 51: Thyroid gland - Unknown function"	"Cluster 55: Non-specific - Transcription"	"Cluster 69: Skin cancer - ECM organization"	"Cluster 29: Monocytes - Innate immune response"	8	"Golgi apparatus"	Nucleoplasm	"HPA035645: AB_10600700, HPA042608: AB_2678075"	"unprognostic (2.45e-1)"	"unprognostic (7.16e-2)"	"unprognostic (6.56e-3)"	"unprognostic (1.53e-2)"	"unprognostic (2.44e-1)"	"unprognostic (9.29e-2)"	"unprognostic (4.06e-2)"	"unprognostic (3.22e-1)"	"unprognostic (2.51e-1)"	"unprognostic (1.24e-1)"	"unprognostic (1.46e-1)"	"unprognostic (4.29e-2)"	"prognostic favorable (1.24e-5)"	"unprognostic (9.12e-2)"	"unprognostic (2.29e-1)"	"unprognostic (2.83e-1)"	"unprognostic (2.91e-1)"
CFL1	CFL	ENSG00000172757	"Cofilin 1"	P23528	11	65823022-65862026	"Plasma proteins, Predicted intracellular proteins"	"Host-virus interaction"	Actin-binding		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"							"CAB033687, CAB037077, HPA053761, HPA077782"	Approved		Supported	"Plasma membrane"			NA	NA		290000000	"Cluster 29: Non-specific - Unknown function"	"Cluster 25: Small intestine - Absorption"	"Cluster 14: Neurons - Synaptic function"	"Cluster 24: Non-specific - Unknown function"	"Cluster 45: Non-specific - Mixed function"	12	"Plasma membrane"		"CAB033687: AB_1121774, CAB037077: AB_1078547, HPA053761: AB_2682251, HPA077782: "	"unprognostic (1.14e-1)"	"unprognostic (2.37e-2)"	"unprognostic (7.69e-3)"	"unprognostic (4.32e-3)"	"unprognostic (3.14e-2)"	"unprognostic (2.09e-2)"	"prognostic unfavorable (1.73e-5)"	"unprognostic (1.59e-3)"	"unprognostic (2.52e-1)"	"unprognostic (5.88e-3)"	"unprognostic (6.57e-3)"	"unprognostic (2.09e-1)"	"unprognostic (6.19e-3)"	"unprognostic (1.72e-2)"	"unprognostic (1.82e-1)"	"unprognostic (1.49e-1)"	"unprognostic (2.06e-1)"
CFLAR	"c-FLIP, CASH, CASP8AP1, Casper, cFLIP, CLARP, FLAME, FLIP, I-FLICE, MRIT"	ENSG00000003402	"CASP8 and FADD like apoptosis regulator"	O15519	2	201116154-201176687	"Cancer-related genes, Enzymes, Predicted intracellular proteins"	"Apoptosis, Host-virus interaction"		"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Langerhans cells: 698.3;monocytes: 808.7"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in all"	4	"neutrophil: 394.0"	"Lineage enriched"	"Detected in all"	6	"granulocytes: 394.0"	"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA019044, CAB022157, CAB025216"	Uncertain		Supported	"Nucleoplasm,Nuclear bodies,Plasma membrane,Cytosol"			NA	Yes			"Cluster 35: Neutrophils - Protein binding"	"Cluster 56: Non-specific - Unknown function"	"Cluster 25: Non-specific - Transcription"	"Cluster 55: Lymphoma - Immune response"	"Cluster 29: Monocytes - Innate immune response"	3	"Nucleoplasm, Plasma membrane, Cytosol"	"Nuclear bodies"	"CAB022157: , CAB025216: , HPA019044: AB_10696204"	"unprognostic (4.61e-2)"	"unprognostic (5.32e-2)"	"unprognostic (2.49e-1)"	"unprognostic (1.44e-1)"	"unprognostic (2.95e-2)"	"prognostic favorable (2.79e-4)"	"unprognostic (7.46e-2)"	"unprognostic (9.01e-2)"	"unprognostic (1.76e-1)"	"unprognostic (6.12e-2)"	"unprognostic (3.08e-2)"	"unprognostic (4.91e-2)"	"unprognostic (2.90e-2)"	"unprognostic (7.83e-2)"	"unprognostic (9.13e-2)"	"unprognostic (6.84e-2)"	"unprognostic (2.24e-2)"
CHAMP1	"C13orf8, CAMP, CHAMP, ZNF828"	ENSG00000198824	"Chromosome alignment maintaining phosphoprotein 1"	Q96JM3	13	114314482-114337626	"Human disease related genes, Predicted intracellular proteins"			"Intellectual disability"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"							"HPA006623, HPA008900"	Enhanced		Enhanced	"Nucleoplasm,Nuclear bodies"			NA	No			"Cluster 5: Non-specific - Cell proliferation"	"Cluster 16: Non-specific - Transcription"	"Cluster 16: Non-specific - Transcription"	"Cluster 19: Non-specific - Unknown function"	"Cluster 49: Non-specific - Transcription"	1	Nucleoplasm	"Nuclear bodies"	"HPA006623: AB_1845548, HPA008900: AB_1845547"	"unprognostic (6.60e-2)"	"unprognostic (1.12e-1)"	"unprognostic (1.99e-2)"	"unprognostic (1.76e-1)"	"unprognostic (4.55e-2)"	"unprognostic (1.67e-1)"	"unprognostic (3.89e-3)"	"unprognostic (2.07e-1)"	"unprognostic (9.43e-2)"	"unprognostic (1.13e-1)"	"unprognostic (4.38e-2)"	"unprognostic (1.13e-2)"	"unprognostic (4.40e-2)"	"unprognostic (3.50e-2)"	"unprognostic (3.67e-1)"	"unprognostic (4.62e-2)"	"unprognostic (2.40e-1)"
CHD1		ENSG00000153922	"Chromodomain helicase DNA binding protein 1"	O14646	5	98853985-98929007	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins"	"Transcription, Transcription regulation"	"Chromatin regulator, DNA-binding, Helicase, Hydrolase"	"Disease variant, Intellectual disability"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"monocytes: 658.0"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA022236	Approved		Approved	"Nucleoplasm,Nucleoli fibrillar center"			NA	NA			"Cluster 21: Neutrophils - Unknown function"	"Cluster 4: Testis - Basic cellular processes"	"Cluster 25: Non-specific - Transcription"	"Cluster 22: Non-specific - mRNA splicing & Cell cycle"	"Cluster 29: Monocytes - Innate immune response"	1	"Nucleoplasm, Nucleoli fibrillar center"		"HPA022236: AB_2670915"	"unprognostic (2.63e-1)"	"unprognostic (2.31e-1)"	"unprognostic (1.09e-2)"	"unprognostic (4.11e-2)"	"unprognostic (7.79e-2)"	"unprognostic (7.15e-2)"	"unprognostic (6.50e-2)"	"unprognostic (1.00e-2)"	"unprognostic (1.79e-1)"	"unprognostic (2.88e-1)"	"unprognostic (4.94e-2)"	"unprognostic (3.15e-1)"	"prognostic unfavorable (7.25e-6)"	"unprognostic (2.69e-1)"	"unprognostic (3.33e-1)"	"unprognostic (1.52e-1)"	"unprognostic (1.17e-1)"
CHEK2	"bA444G7, CDS1, CHK2, HuCds1, PP1425, RAD53"	ENSG00000183765	"Checkpoint kinase 2"	O96017	22	28687743-28742422	"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"	"Apoptosis, Cell cycle, Cell division, DNA damage, DNA repair, Host-virus interaction, Mitosis, Transcription, Transcription regulation"	"Kinase, Serine/threonine-protein kinase, Transferase"	"Cancer-related genes, Disease variant, Li-Fraumeni syndrome, Tumor suppressor"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enhanced"	"Detected in many"		"Spermatogonia: 18.4"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Adipose progenitor cells, Adipose visceral - Adipose progenitor cells, Skin - Mitotic cells (Skin), Testis - Spermatogonia"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in many"			"HPA001878, CAB002030"	Enhanced		Supported	"Nucleoplasm,Golgi apparatus"			NA	NA			"Cluster 13: Non-specific - Mitochondria"	"Cluster 67: Lymphoid tissue & Bone marrow - Cell proliferation"	"Cluster 20: Macrophages & Microglia - Immune response"	"Cluster 66: Non-specific - Mitochondria"	"Cluster 9: Endometrial stromal cells - Transcription"	18	Nucleoplasm	"Golgi apparatus"	"CAB002030: AB_563660, HPA001878: AB_1078514"	"unprognostic (1.54e-1)"	"unprognostic (2.20e-1)"	"unprognostic (5.83e-2)"	"unprognostic (2.93e-2)"	"unprognostic (2.42e-1)"	"unprognostic (3.83e-2)"	"unprognostic (1.49e-3)"	"unprognostic (5.08e-3)"	"unprognostic (3.33e-3)"	"unprognostic (9.62e-3)"	"unprognostic (1.28e-2)"	"unprognostic (3.13e-1)"	"prognostic unfavorable (7.80e-9)"	"unprognostic (2.38e-2)"	"unprognostic (1.78e-1)"	"unprognostic (7.27e-2)"	"unprognostic (6.79e-3)"
CHMP3	"CGI-149, NEDF, VPS24"	ENSG00000115561	"Charged multivesicular body protein 3"	Q9Y3E7	2	86503430-86563479	"Predicted intracellular proteins"	"Apoptosis, Cell cycle, Cell division, Protein transport, Transport"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Testis - Early spermatids, Thyroid - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA015673, HPA073383"	Supported						NA	NA			"Cluster 35: Neutrophils - Protein binding"	"Cluster 30: Heart muscle - Heart development"	"Cluster 14: Neurons - Synaptic function"	"Cluster 26: Non-specific - Mitochondria & RNA binding"	"Cluster 45: Non-specific - Mixed function"	4			"HPA015673: AB_1858761, HPA073383: AB_2732224"	"unprognostic (2.49e-3)"	"unprognostic (1.32e-1)"	"unprognostic (7.29e-2)"	"unprognostic (1.35e-2)"	"unprognostic (2.13e-1)"	"unprognostic (2.83e-2)"	"prognostic unfavorable (3.92e-5)"	"unprognostic (2.67e-1)"	"unprognostic (6.16e-2)"	"unprognostic (8.40e-2)"	"prognostic unfavorable (7.39e-4)"	"unprognostic (1.20e-1)"	"prognostic favorable (5.32e-4)"	"unprognostic (1.34e-1)"	"unprognostic (8.85e-2)"	"unprognostic (2.61e-1)"	"unprognostic (1.64e-1)"
