riskAllele	pValue	pValueAnnotation	riskFrequency	orValue	beta	ci	mappedGenes	traitName	efoTraits	bgTraits	accessionId	locations	pubmedId	author
rs6434978-?	1E-10	"(subset analysis)"	NR	-	-	-	RNU7-147P,PLCL1	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	2:198702963	26974007	"Ellinghaus D"
rs1405108-?	8E-8	"(subset analysis)"	NR	-	-	-	PLCL1,RNU7-147P	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	2:198880294	26974007	"Ellinghaus D"
rs7426056-?	1E-20	"(subset analysis)"	NR	-	-	-	CD28,KRT18P39	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	2:203747335	26974007	"Ellinghaus D"
rs11306716-?	3E-12	"(subset analysis)"	NR	-	-	-	CTLA4,RNU6-474P	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	2:203843041	26974007	"Ellinghaus D"
rs11676348-?	2E-11	"(subset analysis)"	NR	-	-	-	CXCR1,CXCR2	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	2:218145423	26974007	"Ellinghaus D"
rs7556897-?	8E-12	"(subset analysis)"	NR	-	-	-	SNRPGP8,CCL20	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	2:227795396	26974007	"Ellinghaus D"
rs12694846-?	5E-15	"(subset analysis)"	NR	-	-	-	SP140	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	2:230283413	26974007	"Ellinghaus D"
rs35300242-?	5E-67	"(subset analysis)"	NR	-	-	-	ATG16L1	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	2:233260144	26974007	"Ellinghaus D"
rs3749171-?	2E-25	"(subset analysis)"	NR	-	-	-	GPR35	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	2:240630275	26974007	"Ellinghaus D"
rs4676406-?	6E-10	"(subset analysis)"	NR	-	-	-	GPR35,AQP12B	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	2:240639691	26974007	"Ellinghaus D"
rs35320439-?	7E-10	"(subset analysis)"	NR	-	-	-	GAL3ST2	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	2:241797926	26974007	"Ellinghaus D"
rs73178598-?	3E-13	"(subset analysis)"	NR	-	-	-	SATB1-AS1	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	3:18763719	26974007	"Ellinghaus D"
rs10510607-?	4E-7	"(subset analysis)"	NR	-	-	-	CMC1	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	3:28244770	26974007	"Ellinghaus D"
rs1001007-?	2E-8	"(subset analysis)"	NR	-	-	-	CCR5AS	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	3:46387167	26974007	"Ellinghaus D"
rs3197999-?	7E-55	"(subset analysis)"	NR	-	-	-	MST1	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	3:49684099	26974007	"Ellinghaus D"
rs116046827-?	8E-11	"(subset analysis)"	NR	-	-	-	BSN	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	3:49618715	26974007	"Ellinghaus D"
rs6781808-?	8E-9	"(subset analysis)"	NR	-	-	-	MTCH2P1,NPM1P17	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	3:137722530	26974007	"Ellinghaus D"
rs11098964-?	2E-8	"(subset analysis)"	NR	-	-	-	ANTXR2	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	4:79966815	26974007	"Ellinghaus D"
rs13107612-?	3E-10	"(subset analysis)"	NR	-	-	-	BANK1	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	4:101818823	26974007	"Ellinghaus D"
rs3774937-?	2E-18	"(subset analysis)"	NR	-	-	-	NFKB1	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	4:102513096	26974007	"Ellinghaus D"
rs59867199-?	7E-20	"(subset analysis)"	NR	-	-	-	IL2,IL21	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	4:122531076	26974007	"Ellinghaus D"
rs13132308-?	5E-8	"(subset analysis)"	NR	-	-	-	IL21-AS1	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	4:122629959	26974007	"Ellinghaus D"
rs11750385-?	4E-8	"(subset analysis)"	NR	-	-	-	LINC02213	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	5:10521556	26974007	"Ellinghaus D"
rs3776414-?	6E-9	"(subset analysis)"	NR	-	-	-	DAP	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	5:10689450	26974007	"Ellinghaus D"
rs395157-?	8E-15	"(subset analysis)"	NR	-	-	-	OSMR	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	5:38867630	26974007	"Ellinghaus D"
rs1992661-?	1E-74	"(subset analysis)"	NR	-	-	-	RNU1-150P,TTC33	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	5:40414887	26974007	"Ellinghaus D"
rs11749040-?	7E-28	"(subset analysis)"	NR	-	-	-	TTC33,RNU1-150P	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	5:40396323	26974007	"Ellinghaus D"
rs9687958-?	3E-16	"(subset analysis)"	NR	-	-	-	RNU1-150P,TTC33	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	5:40496321	26974007	"Ellinghaus D"
rs353339-?	5E-13	"(subset analysis)"	NR	-	-	-	LINC00604,KRT18P56	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	5:40201698	26974007	"Ellinghaus D"
rs71624119-?	2E-8	"(subset analysis)"	NR	-	-	-	ANKRD55	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	5:56144903	26974007	"Ellinghaus D"
rs4703855-?	3E-8	"(subset analysis)"	NR	-	-	-	YBX1P5,PTCD2	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	5:72398072	26974007	"Ellinghaus D"
rs34804116-?	3E-10	"(subset analysis)"	NR	-	-	-	TMEM174,LINC02230	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	5:73244023	26974007	"Ellinghaus D"
rs469758-?	6E-54	"(subset analysis)"	NR	-	-	-	ERAP1	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	5:96786011	26974007	"Ellinghaus D"
rs2910686-?	2E-21	"(subset analysis)"	NR	-	-	-	ERAP2	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	5:96916885	26974007	"Ellinghaus D"
rs2549803-?	4E-12	"(subset analysis)"	NR	-	-	-	ERAP1,ERAP2	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	5:96839226	26974007	"Ellinghaus D"
rs17622378-?	2E-55	"(subset analysis)"	NR	-	-	-	IRF1,IRF1-AS1	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	5:132442760	26974007	"Ellinghaus D"
rs17622517-?	1E-7	"(subset analysis)"	NR	-	-	-	IRF1-AS1,IRF1	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	5:132467845	26974007	"Ellinghaus D"
rs1004234-?	4E-7	"(subset analysis)"	NR	-	-	-	IRF1-AS1,LINC02863	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	5:132421409	26974007	"Ellinghaus D"
rs6863411-?	2E-9	"(subset analysis)"	NR	-	-	-	NDFIP1	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	5:142133639	26974007	"Ellinghaus D"
rs11749391-?	2E-42	"(subset analysis)"	NR	-	-	-	IRGM	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	5:150849504	26974007	"Ellinghaus D"
rs74817271-?	2E-26	"(subset analysis)"	NR	-	-	-	TNIP1	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	5:151090412	26974007	"Ellinghaus D"
rs56167332-?	3E-43	"(subset analysis)"	NR	-	-	-	IL12B,LINC01845	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	5:159400761	26974007	"Ellinghaus D"
rs12188300-?	3E-34	"(subset analysis)"	NR	-	-	-	IL12B,LINC01845	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	5:159402519	26974007	"Ellinghaus D"
rs4921482-?	9E-25	"(subset analysis)"	NR	-	-	-	IL12B,LINC01845	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	5:159337470	26974007	"Ellinghaus D"
rs6556411-?	3E-11	"(subset analysis)"	NR	-	-	-	IL12B,LINC01845	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	5:159356215	26974007	"Ellinghaus D"
rs72812861-?	1E-8	"(subset analysis)"	NR	-	-	-	CPEB4	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	5:173960506	26974007	"Ellinghaus D"
rs1267499-?	1E-11	"(subset analysis)"	NR	-	-	-	RPL6P17,RNU6-793P	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	6:14715651	26974007	"Ellinghaus D"
rs2328530-?	1E-17	"(subset analysis)"	NR	-	-	-	CDKAL1	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	6:20643496	26974007	"Ellinghaus D"
rs714830-?	5E-9	"(subset analysis)"	NR	-	-	-	CDKAL1	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	6:20624151	26974007	"Ellinghaus D"
rs71559680-?	6E-12	"(subset analysis)"	NR	-	-	-	CDKAL1,LINC00581	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	6:21430497	26974007	"Ellinghaus D"
rs72928038-?	2E-10	"(subset analysis)"	NR	-	-	-	BACH2	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	6:90267049	26974007	"Ellinghaus D"
rs6651252-?	2E-17	"(subset analysis)"	NR	-	-	-	LINC00824	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	8:128554935	26974007	"Ellinghaus D"
rs10758669-?	5E-43	"(subset analysis)"	NR	-	-	-	HNRNPA1P41,JAK2	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	9:4981602	26974007	"Ellinghaus D"
rs2812378-?	6E-9	"(subset analysis)"	NR	-	-	-	FAM205A,CCL21	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	9:34710263	26974007	"Ellinghaus D"
rs7848647-?	1E-25	"(subset analysis)"	NR	-	-	-	TNFSF15,DELEC1	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	9:114806766	26974007	"Ellinghaus D"
rs726657-?	1E-14	"(subset analysis)"	NR	-	-	-	DELEC1	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	9:114934056	26974007	"Ellinghaus D"
rs7468800-?	2E-9	"(subset analysis)"	NR	-	-	-	TNFSF15,DELEC1	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	9:114829725	26974007	"Ellinghaus D"
rs4986790-?	1E-8	"(subset analysis)"	NR	-	-	-	TLR4	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	9:117713024	26974007	"Ellinghaus D"
rs10870077-?	6E-45	"(subset analysis)"	NR	-	-	-	CARD9	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	9:136369439	26974007	"Ellinghaus D"
